"","AnimalID","Cohort","Mouse","Sex","Condition","BrainRegion","Subregion","Area","TrainCounts","Density"
"42","LPS6_mouse2","LPS6","mouse2","F","2xLPS","HC","CA3",301671.215051257,0,0
"43","LPS6_mouse2","LPS6","mouse2","F","2xLPS","HC","DG",521762.688285975,1,1.9165801281902e-06
"44","LPS6_mouse2","LPS6","mouse2","F","2xLPS","STR","CP",1578440.05338701,0,0
"45","LPS6_mouse2","LPS6","mouse2","F","2xLPS","STR","NA",898972.438286007,0,0
"46","LPS6_mouse3","LPS6","mouse3","F","2xLPS","HC","CA1",324488.775438379,2,6.16354139614855e-06
"47","LPS6_mouse3","LPS6","mouse3","F","2xLPS","HC","CA2",177318.410391182,0,0
"48","LPS6_mouse3","LPS6","mouse3","F","2xLPS","HC","CA3",387329.516170955,3,7.74534311161532e-06
"49","LPS6_mouse3","LPS6","mouse3","F","2xLPS","HC","DG",429561.770902401,0,0
"50","LPS6_mouse3","LPS6","mouse3","F","2xLPS","STR","CP",2869801.83811615,0,0
"51","LPS6_mouse3","LPS6","mouse3","F","2xLPS","STR","NA",1235142.98582531,0,0
"52","LPS6_mouse4","LPS6","mouse4","F","2xLPS","FC","FC",977984.714715709,0,0
"53","LPS6_mouse4","LPS6","mouse4","F","2xLPS","HC","CA1",381287.886796854,1,2.62269018929728e-06
"54","LPS6_mouse4","LPS6","mouse4","F","2xLPS","HC","CA2",178480.72532584,1,5.60284589932257e-06
"55","LPS6_mouse4","LPS6","mouse4","F","2xLPS","HC","CA3",458128.797531193,0,0
"56","LPS6_mouse4","LPS6","mouse4","F","2xLPS","HC","DG",442550.03822568,1,2.25963148485832e-06
"57","LPS6_mouse4","LPS6","mouse4","F","2xLPS","STR","CP",1505625.20554339,0,0
"58","LPS6_mouse4","LPS6","mouse4","F","2xLPS","STR","NA",1506418.46119218,0,0
"59","LPS6_mouse5","LPS6","mouse5","F","2xLPS","FC","FC",1115997.25489605,3,2.68817865531349e-06
"60","LPS6_mouse5","LPS6","mouse5","F","2xLPS","HC","CA1",451316.199717609,1,2.21574142613473e-06
"61","LPS6_mouse5","LPS6","mouse5","F","2xLPS","HC","CA2",147280.639201303,0,0
"62","LPS6_mouse5","LPS6","mouse5","F","2xLPS","HC","CA3",300223.180205815,0,0
"63","LPS6_mouse5","LPS6","mouse5","F","2xLPS","HC","DG",468939.46719063,1,2.13247139548928e-06
"64","LPS6_mouse5","LPS6","mouse5","F","2xLPS","STR","CP",2992239.63280118,3,1.00259349789828e-06
"65","LPS6_mouse5","LPS6","mouse5","F","2xLPS","STR","NA",1724636.75257928,0,0
"66","LPS6_mouse6","LPS6","mouse6","F","4xLPS","FC","FC",1372607.11277948,8,5.82832474458061e-06
"67","LPS6_mouse6","LPS6","mouse6","F","4xLPS","HC","CA1",847611.300371827,6,7.07871638493723e-06
"68","LPS6_mouse6","LPS6","mouse6","F","4xLPS","HC","CA2",119336.809420429,2,1.67592883512908e-05
"69","LPS6_mouse6","LPS6","mouse6","F","4xLPS","HC","CA3",291837.591297454,0,0
"70","LPS6_mouse6","LPS6","mouse6","F","4xLPS","HC","DG",482922.525685721,3,6.21217657167716e-06
"71","LPS6_mouse6","LPS6","mouse6","F","4xLPS","STR","CP",2543132.40184298,0,0
"72","LPS6_mouse6","LPS6","mouse6","F","4xLPS","STR","NA",540336.066885609,0,0
